38,1605,29.68
76,3534,23.98
93,7789,30.0
26,5480,88.21
88,6948,75.15
31,2565,77.94
62,9107,92.49
57,5257,37.86
57,5276,81.51
75,4222,89.26
54,7235,27.81
53,9756,85.41
67,8754,33.1
66,1677,55.06
80,5027,60.94
74,1119,37.83
24,1384,16.09
24,9484,55.91
30,4261,32.67
53,0985,93.66
89,7733,54.46
45,3855,2.68
7,2147,68.32
14,7945,95.28
28,5012,92.63
18,4874,21.45
30,2265,20.45
1,6184,79.73
63,7244,45.04
87,0034,33.91
42,7724,10.29
35,6816,95.1
75,0497,93.66
71,1607,33.58
67,5238,37.53
22,1555,14.99
6,6772,59.59
97,1820,92.71
73,1648,7.29
98,3316,96.81
89,8410,23.51
89,4467,32.42
94,0278,39.24
29,1982,37.81
64,2450,86.23
29,4736,65.95
88,9652,22.75
55,5432,57.34
6,4404,71.25
96,4122,40.67
44,0495,68.18
80,8299,18.94
6,3221,5.21
7,7957,75.06
6,4665,20.07
95,4816,95.78
33,6097,36.55
93,8396,71.41
35,1223,20.66
80,5831,98.97
9,9118,25.43
49,7532,24.42
19,7075,59.77
85,2797,28.28
76,4075,91.9
85,3187,9.89
24,2534,41.35
9,1839,7.07
80,0481,73.99
49,6103,81.42
81,7319,94.33
89,6910,93.32
68,7057,31.02
13,4607,50.53
46,1985,61.47
85,8368,19.72
10,7858,50.79
16,4691,27.75
53,5189,48.74
66,6125,33.05
11,4993,41.36
79,8547,66.79
96,1835,60.72
98,9939,30.42
51,4893,1.35
74,0770,82.65
63,5171,95.57
68,5927,28.36
19,1988,33.55
69,0764,25.21
27,1506,4.98
16,6010,45.72
43,5558,86.82
57,3653,91.15
80,2990,43.24
96,6792,56.58
50,7385,83.69
52,8083,85.21
16,8154,13.19
11,2934,88.17
7,2805,94.75
70,6909,72.42
4,6064,1.17
71,8067,12.28
39,8911,2.94
37,2625,56.04
52,8492,79.71
56,1720,52.76
18,0572,6.47
60,6960,67.46
17,9087,57.91
65,1626,63.31
13,4858,99.69
70,4924,97.63
47,7315,41.85
86,6992,90.51
51,8511,15.84
18,7097,44.5
61,7576,38.53
98,0443,95.35
96,5281,28.81
48,5059,34.97
73,8164,63.18
64,4124,39.04
3,7891,11.49
45,5225,25.37
8,2235,15.59
61,5382,71.3
68,5644,65.24
20,0419,95.79
59,3911,53.07
51,7633,97.38
50,4793,43.73
86,8633,76.55
21,9864,43.27
72,2408,6.88
60,8026,69.51
95,0721,32.38
18,2097,95.06
45,3620,37.22
36,2154,99.43
77,2715,97.61
83,4226,59.02
77,1959,50.55
68,0195,22.68
26,5859,73.3
1,4365,91.45
61,3095,50.34
10,8047,42.02
54,4957,36.01
73,0057,1.6
3,3953,60.26
66,7738,32.8
74,2855,36.71
41,8336,35.66
7,0247,77.31
91,9525,22.81
98,9193,22.0
2,0353,76.54
18,7084,25.57
79,8161,10.36
13,2727,15.55
7,4687,62.81
8,4723,17.9
85,2966,97.05
96,6582,67.24
89,3358,86.37
68,4072,4.52
44,3623,62.24
32,9989,19.9
35,8077,13.12
7,8992,28.43
22,2328,38.17
35,1453,88.41
23,2648,4.0
50,2913,19.59
91,3011,47.09
56,4628,59.23
75,6375,88.63
20,5280,32.8
91,9753,48.51
13,6837,32.44
6,4727,61.56
58,8814,25.82
24,7603,27.26
94,0866,33.26
81,9384,56.02
56,6641,17.14
15,1744,32.07
10,1260,77.73
17,1971,47.39
7,9383,23.41
57,2087,66.32
63,0354,35.98
17,2890,4.12
80,4275,71.09
31,4551,44.26
7,6567,26.29
54,5004,4.4
59,1793,63.39
75,6500,26.58
30,0959,10.74
32,7774,40.77
77,1346,20.41
94,9843,90.88
75,6296,50.78
3,6324,15.8
8,0395,60.73
19,3884,20.84
13,5286,68.87
1,4301,86.05
67,6485,46.19
34,2161,92.97
25,7804,30.46
21,8273,77.65
13,0587,63.14
13,5901,52.48
85,1310,54.47
68,0398,34.02
49,9461,6.41
4,1169,75.14
30,0109,48.67
59,0382,62.64
28,0092,65.8
24,8050,81.18
77,2138,93.41
7,0107,46.11
48,5871,57.6
21,7811,91.89
51,6609,89.83
3,9876,3.73
38,5916,51.93
94,0397,84.58
16,5881,90.25
35,3912,39.98
37,0811,27.9
71,0252,28.55
15,1457,13.83
23,8846,60.65
39,4025,2.5
71,9878,70.95
15,4209,87.57
88,9663,38.29
56,7221,97.65
89,0548,61.95
1,2045,28.06
88,9601,32.18
54,8889,71.65
5,8966,52.6
82,9578,40.07
46,7933,70.62
53,4777,43.14
19,5239,50.21
69,3814,40.12
1,0165,59.6
45,4104,35.02
25,1214,41.82
56,1781,12.59
68,7529,6.77
36,0817,78.99
96,9298,59.37
81,4551,55.93
13,4673,21.3
37,8663,61.94
60,3252,45.51
27,6860,9.17
37,3546,92.88
15,7689,50.31
89,5910,7.42
70,0270,42.7
37,9077,95.0
57,0710,82.61
46,6543,95.63
49,7404,67.95
27,9470,38.49
72,8162,77.05
37,7977,62.24
8,4128,59.07
56,4221,89.97
69,5640,58.86
76,2661,78.81
37,3242,55.72
38,7225,38.27
52,8330,89.88
74,1312,55.11
92,9578,19.52
61,2455,67.04
17,8019,27.09
3,1433,82.66
53,8139,3.93
25,9491,18.66
64,9366,79.63
28,5049,96.98
16,3459,32.39
11,2704,87.45
38,8498,85.31
70,8724,94.03
66,8857,73.42
1,6475,39.05
2,1381,24.42
12,7858,62.42
50,7575,41.6
87,2200,42.21
54,3417,25.95
29,8517,27.31
56,5335,24.52
70,9122,54.71
80,1530,63.26
68,0479,52.13
99,0277,99.74
58,1947,26.92
94,3608,52.09
63,7513,58.25
72,3815,68.14
45,8367,87.08
62,6299,33.66
29,1109,35.0
27,3299,2.24
11,2542,36.93
60,2727,49.81
26,9126,58.01
91,8782,96.18
38,8928,48.91
95,6748,18.35
33,6820,41.07
59,0220,70.52
